,Routes,Path,Signal_power (W),Noise_power (W),Latency (s),SNR (dB)
315,F->C,FBAC,0.001,2.890249179275311e-06,0.006275476134422036,25.390647134651708
316,F->C,FBADC,0.001,5.953947498632898e-06,0.007610486803493723,22.251949992416208
317,F->C,FBADEC,0.001,1.2301915443352663e-05,0.009479421395194074,19.10027262405065
318,F->C,FBDAC,0.001,6.302762707985726e-06,0.008473205270730474,22.004690432713897
319,F->C,FBDC,0.001,2.893977001733438e-06,0.006000329386870207,25.385049245162033
320,F->C,FBDEC,0.001,6.181974449553742e-06,0.00786926397857056,22.088727942323953
321,F->C,FDAC,0.001,2.797968894792979e-06,0.006228213940568925,25.531571178981068
322,F->C,FDBAC,0.001,5.954790550821531e-06,0.008153590429878147,22.25133509449407
323,F->C,FDC,0.001,1.1415800951370644e-06,0.003755338056708658,29.42493612289607
324,F->C,FDEC,0.001,2.6771806363609957e-06,0.005624272648409009,25.723223248428916
325,F->C,FEC,0.001,1.5904850782785723e-06,0.004860096172179614,27.984704010311074
326,F->C,FEDAC,0.001,7.706800331525623e-06,0.009271924017271484,21.131258926086364
327,F->C,FEDBAC,0.001,1.5772453424286816e-05,0.011197300506580705,18.021007463822794
328,F->C,FEDC,0.001,3.5959958135033865e-06,0.006799048133411217,24.44180822548774
329,F->D,FBACD,0.001,6.141053486097021e-06,0.008078251772154032,22.117571200717254
330,F->D,FBACED,0.001,1.2648892153580987e-05,0.009947186363854381,18.979475102712293
331,F->D,FBAD,0.001,2.7966961855432495e-06,0.005807711165761728,25.53354709927593
332,F->D,FBD,0.001,1.2667109370935195e-06,0.004197553749138213,28.973224796296016
333,F->D,FD,0.001,3.905124837953328e-07,0.0019525624189766636,34.08365078158597
334,F->D,FECABD,0.001,1.574066456607792e-05,0.011061124183081096,18.02976935808736
335,F->D,FECAD,0.001,7.691412266457998e-06,0.009135747693771875,21.13993909455167
336,F->D,FECD,0.001,3.5415252841035436e-06,0.006662871809911608,24.508096532846366
337,F->D,FED,0.001,1.6177203429784938e-06,0.004996272495679223,27.910965531802102
338,F->E,FBACDE,0.001,1.2662895627487239e-05,0.009982195048620008,18.97466972735276
339,F->E,FBACE,0.001,6.134051749143896e-06,0.008043243087388404,22.122525644681666
340,F->E,FBADCE,0.001,1.2261448387859069e-05,0.009378253756460092,19.114582256005257
341,F->E,FBADE,0.001,5.974181026379695e-06,0.007711654442227705,22.23721621777649
342,F->E,FBDACE,0.001,1.2959078806564724e-05,0.010240972223696843,18.874258691015974
343,F->E,FBDCE,0.001,6.141507394060149e-06,0.007768096339836576,22.117250209474967
344,F->E,FBDE,0.001,2.914210529480234e-06,0.00610149702560419,25.354790769693093
345,F->E,FDACE,0.001,5.9494911801792315e-06,0.007995980893535294,22.255201749587673
346,F->E,FDBACE,0.001,1.2263134492236335e-05,0.009921357382844515,19.11398508717128
347,F->E,FDCE,0.001,2.6367135808674026e-06,0.005523105009675027,25.78937043890541
348,F->E,FDE,0.001,1.161813622883861e-06,0.0038565056954426406,29.348635354956976
349,F->E,FE,0.001,6.184658438426492e-07,0.0030923292192132456,32.086842802551814
