,Routes,Path,Signal_power (W),Noise_power (W),Latency (s),SNR (dB)
45,A->E,ADE,0.001,1.1423659658795865e-06,0.003807886552931954,29.421947441628497
46,A->E,ADFE,0.001,2.9226454326060964e-06,0.006948834914655887,25.342238688720805
47,A->F,ABDCEF,0.001,1.1723131885201303e-05,0.010492191575686807,19.309563491747255
48,A->F,ABDEF,0.001,5.857712529422295e-06,0.00882559226145442,22.322719453804396
49,A->F,ABDF,0.001,2.62934717129196e-06,0.005781882184751863,25.80152067137449
50,A->F,ABF,0.001,1.1343069684524242e-06,0.0039037678892957514,29.45269399883649
51,A->F,ACDBF,0.001,6.488775014777061e-06,0.008372037631996492,21.878372838678693
52,A->F,ACDEF,0.001,6.616996856816691e-06,0.009170756378537502,21.793390716534407
53,A->F,ACDF,0.001,3.008989334989159e-06,0.006127046301834943,25.21579351563198
54,A->F,ACEDBF,0.001,1.3192869442712492e-05,0.010240972223696843,18.796607353403495
55,A->F,ACEDF,0.001,6.361036548956875e-06,0.007995980893535294,21.96472109066654
56,A->F,ACEF,0.001,3.222939221130225e-06,0.0072318044173059,24.91747884427674
57,A->F,ADBF,0.001,2.774975933562191e-06,0.00610149702560419,25.567407790157052
58,A->F,ADCEF,0.001,5.814102377560357e-06,0.008566815086377586,22.355173252284605
59,A->F,ADEF,0.001,2.903197775601822e-06,0.0069002157721452,25.371233775590238
60,A->F,ADF,0.001,1.1520897943817236e-06,0.0038565056954426406,29.38513670492043
61,B->A,BA,0.001,3.535533905932738e-07,0.0017677669529663686,34.51544993495971
62,B->A,BDA,0.001,1.2054097804167278e-06,0.003965496089274807,29.18865289088628
63,B->A,BDCA,0.001,2.8446941543651197e-06,0.006236036695667109,25.459644196772402
64,B->A,BDECA,0.001,6.003087551878716e-06,0.00810497128736746,22.21625322641039
65,B->A,BDFECA,0.001,1.3376380676933322e-05,0.011245919649091392,18.736613801907186
66,B->A,BFDA,0.001,2.870614371947368e-06,0.0059925066317720235,25.420251451502697
67,B->A,BFDCA,0.001,6.175103337426401e-06,0.008263047238164326,22.09355770295253
68,B->A,BFDECA,0.001,1.2663905918001277e-05,0.010131981829864677,18.97432324570579
69,B->A,BFECA,0.001,7.072913303709415e-06,0.009367805353635282,21.504016652529636
70,B->A,BFECDA,0.001,1.4299042219754307e-05,0.010702816022706969,18.44693051528376
71,B->A,BFEDA,0.001,7.0338308393771965e-06,0.009036216708474583,21.528080804899943
72,B->A,BFEDCA,0.001,1.4501536272286056e-05,0.011306757314866885,18.38585986783338
73,B->C,BAC,0.001,1.1814484302118046e-06,0.0041394751980926535,29.275852304118388
74,B->C,BADC,0.001,2.536346000505885e-06,0.00547448586716434,25.957915016339342
75,B->C,BADEC,0.001,5.466712447098637e-06,0.007343420458864691,22.622737697014035
76,B->C,BADFEC,0.001,1.1855698505297847e-05,0.010484368820588622,19.260728534901133
77,B->C,BDAC,0.001,2.8851612098587124e-06,0.006337204334401091,25.398299154039037
78,B->C,BDC,0.001,1.1851762526699314e-06,0.0038643284505408245,29.262170590462997
79,B->C,BDEC,0.001,2.7643729514267293e-06,0.0057332630422411756,25.58403365125578
80,B->C,BDFEC,0.001,6.451019513954032e-06,0.008874211403965108,21.903716443887372
81,B->C,BFDAC,0.001,6.215570392919993e-06,0.008364214876898307,22.06519010685899
82,B->C,BFDC,0.001,2.8503808442005717e-06,0.005891338993038041,25.45097109295106
83,B->C,BFDEC,0.001,6.09478213448801e-06,0.007760273584738392,22.150418141605698
84,B->C,BFEC,0.001,3.2992858273420788e-06,0.0069960971085089975,24.815800585497566
85,B->C,BFEDAC,0.001,1.454200332777965e-05,0.011407924953600867,18.37375760308563
