,Path,1,2,3,4,5,6,7,8,9,10
101,BADFE,0,0,0,0,0,0,0,0,1,1
102,BDACE,0,0,0,0,0,0,0,0,0,1
103,BDCE,0,0,0,0,0,0,0,0,0,0
104,BDE,0,0,0,0,0,0,0,0,0,0
105,BDFE,0,0,0,0,0,0,0,0,1,1
106,BFDACE,0,0,0,0,0,0,0,0,0,1
107,BFDCE,0,0,0,0,0,0,0,0,0,0
108,BFDE,0,0,0,0,0,0,0,0,0,0
109,BFE,0,0,0,1,1,1,1,1,1,1
110,BACDEF,0,0,0,0,0,0,0,0,0,0
111,BACDF,0,0,0,0,0,0,0,0,1,1
112,BACEDF,0,0,0,0,0,0,0,0,1,1
113,BACEF,0,0,0,0,0,0,0,1,1,1
114,BADCEF,0,0,0,0,0,0,0,0,0,0
115,BADEF,0,0,0,0,0,0,0,0,0,0
116,BADF,0,0,0,0,0,0,0,0,1,1
117,BDACEF,0,0,0,0,0,0,0,0,0,1
118,BDCEF,0,0,0,0,0,0,0,0,0,0
119,BDEF,0,0,0,0,0,0,0,0,0,0
120,BDF,0,0,0,0,0,0,0,0,1,1
121,BF,0,0,1,1,1,1,1,1,1,1
122,CA,0,0,0,0,0,1,1,1,1,1
123,CDA,0,0,0,0,0,0,0,0,0,1
124,CDBA,0,0,0,0,0,0,0,0,0,0
125,CDEFBA,0,0,0,0,0,0,0,0,0,0
126,CDFBA,0,0,0,0,0,0,0,0,1,1
127,CEDA,0,0,0,0,0,0,0,0,0,1
128,CEDBA,0,0,0,0,0,0,0,0,0,0
129,CEDFBA,0,0,0,0,0,0,0,0,1,1
130,CEFBA,0,0,0,0,0,0,0,1,1,1
131,CEFBDA,0,0,0,0,0,0,0,0,0,1
132,CEFDA,0,0,0,0,0,0,0,0,0,1
133,CEFDBA,0,0,0,0,0,0,0,0,0,0
134,CAB,0,0,0,0,0,1,1,1,1,1
135,CADB,0,0,0,0,0,0,0,0,0,0
136,CADEFB,0,0,0,0,0,0,0,0,0,0
137,CADFB,0,0,0,0,0,0,0,0,1,1
138,CDAB,0,0,0,0,0,0,0,0,0,1
139,CDB,0,0,0,0,0,0,0,0,0,0
140,CDEFB,0,0,0,0,0,0,0,0,0,0
141,CDFB,0,0,0,0,0,0,0,0,1,1
142,CEDAB,0,0,0,0,0,0,0,0,0,1
143,CEDB,0,0,0,0,0,0,0,0,0,0
144,CEDFB,0,0,0,0,0,0,0,0,1,1
145,CEFB,0,0,0,0,0,0,0,1,1,1
146,CEFDAB,0,0,0,0,0,0,0,0,0,1
147,CEFDB,0,0,0,0,0,0,0,0,0,0
148,CABD,0,0,0,0,0,1,1,1,1,1
149,CABFD,0,0,0,0,0,1,1,1,1,1
150,CABFED,0,0,0,0,0,0,1,1,1,1
